Frame,W_kip_,Height_in_,L_ft_,alpha,Cladding,Structure,Roof,Snow_psf,Seismic,Wind,Weights,k_lat_kip_ft_,MassParticipation,T_model_s_,T_r1_s_,T_r2_s_,T_S_U_s_
67,110.02,550,40,0.873,Concrete,Clear Span,Monoslope,42,High,Low,6.65E-05,15.307,0.984,0.857,0.857,0.857,1.98551494
68,113.78,552.5,100,2.172,Concrete,Clear Span,Gabled,0,Low,High,0.000188,2.268,0.973,2.275,2.275,2.265,2.008363517
69,188.18,580,160,3.31,Concrete,Clear Span,Monoslope,42,High,Low,9.50E-06,14.791,0.933,1.161,1.16,1.141,1.396798488
70,142.59,725,40,0.662,Concrete,Clear Span,Gabled,42,High,Low,0.000186,13.317,0.975,1.043,1.043,1.046,2.331583551
71,158.84,745,100,1.611,Concrete,Clear Span,Monoslope,0,High,Low,8.15E-05,6.051,0.951,1.618,1.618,1.638,2.428050446
72,163.36,740,160,2.595,Concrete,Clear Span,Gabled,0,Low,Low,0.000132,1.647,0.963,3.203,3.203,3.184,2.44363363
73,19.04,190,40,2.526,Metal Panels,Clear Span,Monoslope,42,Low,Low,0.011666,7.02,0.968,0.528,0.528,0.527,0.852803597
74,49.72,192.5,100,6.234,Metal Panels,Clear Span,Gabled,42,Low,Low,0.032986,40.46,0.633,0.442,0.431,0.354,0.599388184
75,91.6,220,160,8.727,Metal Panels,Clear Span,Monoslope,42,Low,Low,0.001667,76.415,0.416,0.517,0.492,0.35,0.472137282
76,20.73,370,40,1.297,Metal Panels,Clear Span,Monoslope,42,High,Low,0.002121,1.703,0.967,1.114,1.114,1.115,1.068472055
77,27.1,372.5,100,3.221,Metal Panels,Clear Span,Gabled,0,High,Low,0.029915,2.828,0.929,1.001,1,0.99,1.052723596
78,47.28,400,160,4.8,Metal Panels,Clear Span,Monoslope,0,Low,Low,0.001511,5.527,0.834,0.999,0.993,0.935,0.772213079
79,14.28,550,40,0.873,Metal Panels,Clear Span,Monoslope,0,High,Low,0.00529,1.69,0.911,0.912,0.911,0.929,1.0760938
80,54.48,565,100,2.124,Metal Panels,Clear Span,Monoslope,42,High,Low,0.000529,2.097,0.965,1.633,1.632,1.63,1.621095216
81,93.11,560,160,3.429,Metal Panels,Clear Span,Gabled,42,High,Low,0.000859,7.568,0.883,1.174,1.171,1.122,1.204763837
82,25.71,730,40,0.658,Metal Panels,Clear Span,Monoslope,42,Low,Low,0.000523,1.877,0.933,1.185,1.184,1.183,1.397495252
83,39.34,820,100,1.463,Metal Panels,Clear Span,Gabled,0,Low,High,0.000267,3.502,0.896,1.045,1.045,1.072,1.644058711
84,98.23,880,160,2.182,Metal Panels,Clear Span,Gabled,42,Low,High,1.53E-05,3.294,0.914,1.823,1.819,1.746,2.209738615
85,37.3,185,40,2.595,Concrete,Clear Span,Gabled,0,High,High,0.004145,14.496,0.979,0.518,0.518,0.513,1.035111249
86,76.69,192.5,100,6.234,Concrete,Clear Span,Gabled,42,High,Low,0.002068,38.651,0.732,0.527,0.519,0.45,0.642423465
87,79.97,220,160,8.727,Concrete,Clear Span,Monoslope,0,Low,Low,0.000521,25.553,0.598,0.717,0.7,0.566,0.46199083
88,68.19,370,40,1.297,Concrete,Clear Span,Monoslope,0,Low,High,0.000133,3.241,0.993,1.465,1.465,1.467,1.527212902
89,81,372.5,100,3.221,Concrete,Clear Span,Gabled,0,Low,Low,0.001876,2.62,0.956,1.818,1.817,1.778,1.254286864
90,100.11,520,160,3.692,Concrete,Clear Span,Gabled,0,Low,Low,9.71E-05,3.308,0.83,2.024,2.013,1.759,1.131995491
91,105.11,545,40,0.881,Concrete,Clear Span,Gabled,42,Low,Low,0.000377,1.399,0.991,2.769,2.769,2.772,1.953147408
92,113.27,640,100,1.875,Concrete,Clear Span,Gabled,0,High,High,3.40E-05,10.249,0.938,1.088,1.086,1.063,2.09609674
93,132.69,560,160,3.429,Concrete,Clear Span,Gabled,0,High,High,5.38E-05,14.065,0.89,1.026,1.023,0.982,1.275018897
94,142.31,730,40,0.658,Concrete,Clear Span,Monoslope,42,Low,High,6.57E-06,3.882,0.981,1.932,1.932,1.936,2.335018597
95,152.55,732.5,100,1.638,Concrete,Clear Span,Gabled,0,High,Low,0.000462,8.655,0.969,1.337,1.337,1.342,2.386650427
96,222.43,760,160,2.526,Concrete,Clear Span,Monoslope,42,High,Low,4.68E-06,10.462,0.954,1.479,1.479,1.474,2.702246396
97,19.13,190,80,2.526,Metal Panels,Modular,Gabled,0,High,Low,0.329748,2.642,0.917,0.885,0.883,0.861,0.854010935
98,28.82,195,120,3.692,Metal Panels,Modular,Gabled,0,Low,High,0.018888,4.005,0.747,0.975,0.958,0.858,0.927511578
99,56.4,300,240,2.4,Metal Panels,Modular,Monoslope,0,Low,Low,0.009689,5.348,0.967,1.04,1.036,1.038,1.354699491
100,148.42,480,300,2.4,Metal Panels,Modular,Gabled,42,Low,Low,0.000842,11.645,0.881,1.173,1.159,1.142,2.085177161
101,39.81,380,80,1.297,Metal Panels,Modular,Monoslope,42,Low,High,0.000425,3.583,0.961,1.066,1.066,1.066,1.309952634
102,30.84,375,120,1.92,Metal Panels,Modular,Gabled,0,High,Low,0.01713,0.98,0.948,1.801,1.8,1.794,1.208555367
103,58.08,390,240,1.297,Metal Panels,Modular,Gabled,0,Low,Low,0.00422,1.48,0.983,1.994,1.993,2.003,1.478598375
104,74.35,397.5,300,1.92,Metal Panels,Modular,Gabled,0,High,Low,0.00422,1.47,0.977,2.271,2.269,2.274,1.601431224
105,26.55,560,80,0.873,Metal Panels,Modular,Monoslope,0,High,High,0.001061,3.57,0.924,0.861,0.86,0.872,1.303162655
106,62.12,570,120,1.297,Metal Panels,Modular,Monoslope,42,High,Low,0.000303,1.847,0.962,1.856,1.856,1.855,1.690654057
107,117.82,660,240,0.857,Metal Panels,Modular,Monoslope,42,High,Low,0.000177,2.758,0.98,2.083,2.081,2.09,2.140679974
108,150.21,690,300,1.263,Metal Panels,Modular,Monoslope,42,Low,Low,0.000177,2.926,0.972,2.283,2.28,2.291,2.33338951
109,67.1,200,80,2.526,Concrete,Modular,Monoslope,42,Low,High,0.000147,6.18,0.957,1.076,1.074,1.054,1.263713471
110,55.71,195,120,3.692,Concrete,Modular,Gabled,0,Low,High,0.001184,4.392,0.851,1.235,1.226,1.139,1.030665191
111,146.87,240,240,2.526,Concrete,Modular,Monoslope,42,High,Low,5.15E-05,40.308,0.954,0.627,0.622,0.61,1.688364302
112,103.75,480,300,2.4,Concrete,Modular,Gabled,0,Low,High,5.28E-05,9.163,0.919,1.098,1.09,1.076,1.872801131
113,96.98,380,80,1.297,Concrete,Modular,Monoslope,42,High,Low,0.000133,12.737,0.973,0.887,0.887,0.882,1.711049576
114,85.39,375,120,1.92,Concrete,Modular,Gabled,0,Low,High,0.000215,1.806,0.959,2.24,2.239,2.199,1.640417314
115,166.28,390,240,1.297,Concrete,Modular,Gabled,42,Low,High,1.06E-05,3.429,0.992,2.225,2.224,2.227,2.027189028
116,133.39,397.5,300,1.92,Concrete,Modular,Gabled,0,High,High,5.30E-05,18.787,0.946,0.868,0.866,0.852,1.908362974
117,110.27,560,80,0.873,Concrete,Modular,Monoslope,0,High,Low,0.000332,9.916,0.969,1.06,1.06,1.066,1.997636573
118,145.58,555,120,1.297,Concrete,Modular,Gabled,42,High,Low,0.000108,13.281,0.94,1.073,1.072,1.059,2.165415642
119,221.78,660,240,0.857,Concrete,Modular,Monoslope,42,High,Low,1.11E-05,16.17,0.954,1.173,1.171,1.184,2.587990957
120,189.17,690,300,1.263,Concrete,Modular,Monoslope,0,High,Low,5.52E-05,13.413,0.948,1.205,1.203,1.201,2.500536893
121,36.97,200,80,2.526,Metal Panels,Modular,Monoslope,42,High,Low,0.011666,3.116,0.941,1.125,1.124,1.101,1.056785131
122,29.31,210,120,3.692,Metal Panels,Modular,Monoslope,0,Low,Low,0.016626,2.076,0.88,1.255,1.248,1.201,0.930016887
123,56.94,300,240,2.4,Metal Panels,Modular,Monoslope,0,Low,High,0.001942,9.619,0.957,0.783,0.778,0.778,1.35857768
124,71.33,255,300,3.692,Metal Panels,Modular,Monoslope,0,Low,Low,0.004096,3.411,0.957,1.479,1.475,1.462,1.072239641
125,23.25,440,80,1.091,Metal Panels,Modular,Gabled,0,High,High,0.002174,2.618,0.924,0.964,0.962,0.953,1.164891698
126,31.98,390,120,1.92,Metal Panels,Modular,Monoslope,0,High,Low,0.003023,1.717,0.931,1.391,1.39,1.38,1.236248507
127,112.7,420,240,1.297,Metal Panels,Modular,Monoslope,42,Low,High,2.99E-05,4.802,0.982,1.553,1.551,1.549,1.844483702
128,141.19,397.5,300,1.92,Metal Panels,Modular,Gabled,42,Low,Low,0.000846,1.086,0.988,3.639,3.638,3.646,1.941177199
129,24.17,550,80,0.873,Metal Panels,Modular,Gabled,0,Low,Low,0.029977,1.365,0.926,1.329,1.328,1.345,1.260128001
130,62.94,600,120,1.263,Metal Panels,Modular,Monoslope,42,Low,Low,0.000717,2.133,0.951,1.739,1.738,1.737,1.723638781
131,64.45,600,240,0.873,Metal Panels,Modular,Monoslope,0,High,High,7.47E-05,4.385,0.962,1.213,1.211,1.226,1.735941604
132,149.22,615,300,1.297,Metal Panels,Modular,Monoslope,42,Low,High,1.50E-05,4.804,0.974,1.782,1.78,1.782,2.249746089
133,49.48,200,80,2.526,Concrete,Modular,Monoslope,0,Low,Low,0.003649,4.404,0.97,1.086,1.086,1.072,1.15334906
134,88.01,210,120,3.692,Concrete,Modular,Monoslope,42,Low,High,4.19E-05,7.87,0.907,1.113,1.109,1.069,1.108902664
135,83.68,210,240,2.526,Concrete,Modular,Gabled,0,High,Low,0.001455,25.336,0.948,0.596,0.593,0.581,1.370172195
136,110.49,255,300,3.692,Concrete,Modular,Monoslope,0,Low,High,5.15E-05,8.929,0.95,1.15,1.147,1.125,1.150005663
137,96.64,380,80,1.297,Concrete,Modular,Monoslope,42,Low,Low,0.000133,2.006,0.988,2.226,2.225,2.22,1.709247745
138,85.72,375,120,1.92,Concrete,Modular,Gabled,0,High,Low,0.001074,10.844,0.929,0.924,0.921,0.899,1.642316625
139,179.73,600,240,1.091,Concrete,Modular,Gabled,42,High,Low,9.59E-06,22.874,0.974,0.889,0.886,0.896,2.361317618
140,141.8,435,300,1.92,Concrete,Modular,Monoslope,0,Low,High,9.36E-06,4.828,0.974,1.75,1.749,1.733,1.996974441
141,105.6,550,80,0.873,Concrete,Modular,Gabled,0,Low,Low,0.00188,1.148,0.988,3.066,3.066,3.067,1.961240453
142,143.49,555,120,1.297,Concrete,Modular,Gabled,42,Low,Low,0.000108,1.31,0.986,3.351,3.351,3.347,2.156042144
143,145.52,570,240,0.873,Concrete,Modular,Gabled,0,High,Low,0.000132,14.472,0.966,1.007,1.006,1.014,2.182539552
144,240.85,577.5,300,1.297,Concrete,Modular,Gabled,42,High,Low,2.65E-05,20.546,0.972,1.093,1.092,1.095,2.548663221
145,37.11,190,80,2.526,Metal Panels,Modular,Gabled,42,Low,Low,0.066108,4.195,0.97,0.955,0.954,0.951,1.041828483
146,56.82,195,120,3.692,Metal Panels,Modular,Gabled,42,Low,Low,0.018888,10.857,0.879,0.77,0.764,0.732,1.033923723
147,60.12,420,240,1.846,Metal Panels,Modular,Gabled,0,Low,High,0.000842,5.505,0.972,1.039,1.035,1.057,1.527577802
148,138.46,217.5,300,3.692,Metal Panels,Modular,Gabled,42,High,Low,0.004654,10.11,0.873,1.282,1.27,1.183,1.192285317
149,22.36,380,80,1.297,Metal Panels,Modular,Monoslope,0,Low,High,0.002121,3.646,0.931,0.789,0.789,0.792,1.101791655
150,33.78,480,120,1.5,Metal Panels,Modular,Gabled,0,Low,High,0.000621,2.002,0.915,1.375,1.37,1.314,1.33749795
151,58.14,390,240,1.297,Metal Panels,Modular,Gabled,0,High,High,0.000846,2.402,0.979,1.568,1.566,1.573,1.479056453
152,143.05,397.5,300,1.92,Metal Panels,Modular,Gabled,42,High,Low,0.000846,3.878,0.972,1.952,1.949,1.942,1.948813855
153,42.73,550,80,0.873,Metal Panels,Modular,Gabled,42,Low,High,0.001205,2.7,0.942,1.262,1.261,1.272,1.495035602
154,36.23,600,120,1.263,Metal Panels,Modular,Monoslope,0,High,Low,0.003575,2.123,0.925,1.315,1.314,1.321,1.460456868
