Frame,W_kip_,Height_in_,L_ft_,alpha,Cladding,Structure,Roof,Seismic,Wind,Weights,k_lat_kip_ft_,MassParticipation,T_model_s_,T_r1_s_,T_r2_s_,T_S_U_s_
45,147.03,620,160,3.097,Concrete,Clear Span,Monoslope,High,Low,0.000112,13.14,0.902,1.102,1.098,1.07,1.43507217366422
46,128.64,725,40,0.662,Concrete,Clear Span,Gabled,Low,Low,0.000926,1.567,0.981,2.886,2.886,2.898,2.26066948168789
47,174.64,732.5,100,1.638,Concrete,Clear Span,Gabled,High,Low,9.26e-05,9.803,0.973,1.347,1.347,1.35,2.48546851277576
48,176.61,760,160,2.526,Concrete,Clear Span,Monoslope,Low,High,4.68e-06,3.524,0.952,2.284,2.284,2.264,2.52157288029101
49,19.07,200,40,2.4,Metal Panels,Clear Span,Monoslope,Low,High,0.005532,5.018,0.97,0.625,0.624,0.623,0.866437153163323
50,50.06,192.5,100,6.234,Metal Panels,Clear Span,Gabled,Low,High,0.006613,43.789,0.578,0.451,0.44,0.342,0.600042114722795
51,91.57,260,160,7.385,Metal Panels,Clear Span,Monoslope,Low,High,0.00079,57.962,0.446,0.543,0.507,0.402,0.557904687409797
52,20.77,365,40,1.315,Metal Panels,Clear Span,Gabled,Low,High,0.00241,3.081,0.962,0.826,0.826,0.83,1.06473533826583
53,52.23,385,100,3.117,Metal Panels,Clear Span,Monoslope,Low,Low,0.001058,7.218,0.925,0.881,0.88,0.86,1.20825999809674
54,90.58,380,160,5.053,Metal Panels,Clear Span,Gabled,Low,Low,0.001717,18.25,0.768,0.81,0.803,0.712,0.813965257048299
55,15.17,545,40,0.881,Metal Panels,Clear Span,Gabled,Low,High,0.00601,3.63,0.918,0.646,0.645,0.654,1.09279194471564
56,29.05,552.5,100,2.172,Metal Panels,Clear Span,Gabled,Low,Low,0.014958,1.325,0.941,1.491,1.49,1.497,1.33341822233075
57,93.72,620,160,3.097,Metal Panels,Clear Span,Monoslope,High,Low,0.000358,3.952,0.914,1.603,1.601,1.557,1.33530955015775
58,17.63,740,40,0.649,Metal Panels,Clear Span,Monoslope,High,Low,0.006165,1.936,0.899,0.955,0.953,0.965,1.25304904467633
59,39.9,770,100,1.558,Metal Panels,Clear Span,Monoslope,High,High,0.000617,4.096,0.888,0.98,0.978,0.998,1.62017507402242
60,95.59,740,160,2.595,Metal Panels,Clear Span,Gabled,High,Low,0.000423,3.578,0.937,1.673,1.672,1.653,2.08073184762524
61,45.93,185,40,2.595,Concrete,Clear Span,Gabled,Low,Low,0.004145,11.429,0.985,0.645,0.645,0.641,1.10180138070455
62,56.54,205,100,5.854,Concrete,Clear Span,Monoslope,Low,Low,0.00182,12.811,0.871,0.716,0.712,0.672,0.651559687346048
63,124.53,220,160,8.727,Concrete,Clear Span,Monoslope,Low,Low,0.000104,82.116,0.463,0.563,0.541,0.394,0.495916842033417
64,78.81,380,40,1.263,Concrete,Clear Span,Monoslope,Low,High,6.31e-05,3.227,0.992,1.578,1.578,1.58,1.60780115887103
65,109.33,460,100,2.609,Concrete,Clear Span,Gabled,Low,Low,6.8e-05,7.889,0.909,1.283,1.28,1.19,1.87833051512447
66,100.81,520,160,3.692,Concrete,Clear Span,Gabled,Low,High,1.95e-05,3.46,0.839,1.97,1.96,1.726,1.13325822993056
67,110.02,550,40,0.873,Concrete,Clear Span,Monoslope,High,Low,6.65e-05,15.307,0.984,0.857,0.857,0.857,1.98551493951262
68,113.78,552.5,100,2.172,Concrete,Clear Span,Gabled,Low,High,0.000188,2.268,0.973,2.275,2.275,2.265,2.00836351734802
69,188.18,580,160,3.31,Concrete,Clear Span,Monoslope,High,Low,9.5e-06,14.791,0.933,1.161,1.16,1.141,1.39679848771389
70,142.59,725,40,0.662,Concrete,Clear Span,Gabled,High,Low,0.000186,13.317,0.975,1.043,1.043,1.046,2.33158355113672
71,158.84,745,100,1.611,Concrete,Clear Span,Monoslope,High,Low,8.15e-05,6.051,0.951,1.618,1.618,1.638,2.42805044553045
72,163.36,740,160,2.595,Concrete,Clear Span,Gabled,Low,Low,0.000132,1.647,0.963,3.203,3.203,3.184,2.44363363041607
73,19.04,190,40,2.526,Metal Panels,Clear Span,Monoslope,Low,Low,0.011666,7.02,0.968,0.528,0.528,0.527,0.852803597283364
74,49.72,192.5,100,6.234,Metal Panels,Clear Span,Gabled,Low,Low,0.032986,40.46,0.633,0.442,0.431,0.354,0.599388183531195
75,91.6,220,160,8.727,Metal Panels,Clear Span,Monoslope,Low,Low,0.001667,76.415,0.416,0.517,0.492,0.35,0.472137281923705
76,20.73,370,40,1.297,Metal Panels,Clear Span,Monoslope,High,Low,0.002121,1.703,0.967,1.114,1.114,1.115,1.06847205483244
77,27.1,372.5,100,3.221,Metal Panels,Clear Span,Gabled,High,Low,0.029915,2.828,0.929,1.001,1,0.99,1.05272359590063
78,47.28,400,160,4.8,Metal Panels,Clear Span,Monoslope,Low,Low,0.001511,5.527,0.834,0.999,0.993,0.935,0.772213079243443
79,14.28,550,40,0.873,Metal Panels,Clear Span,Monoslope,High,Low,0.00529,1.69,0.911,0.912,0.911,0.929,1.07609380004988
80,54.48,565,100,2.124,Metal Panels,Clear Span,Monoslope,High,Low,0.000529,2.097,0.965,1.633,1.632,1.63,1.62109521597427
81,93.11,560,160,3.429,Metal Panels,Clear Span,Gabled,High,Low,0.000859,7.568,0.883,1.174,1.171,1.122,1.20476383654276
82,25.71,730,40,0.658,Metal Panels,Clear Span,Monoslope,Low,Low,0.000523,1.877,0.933,1.185,1.184,1.183,1.39749525234449
83,39.34,820,100,1.463,Metal Panels,Clear Span,Gabled,Low,High,0.000267,3.502,0.896,1.045,1.045,1.072,1.64405871075108
84,98.23,880,160,2.182,Metal Panels,Clear Span,Gabled,Low,High,1.53e-05,3.294,0.914,1.823,1.819,1.746,2.20973861485604
85,37.3,185,40,2.595,Concrete,Clear Span,Gabled,High,High,0.004145,14.496,0.979,0.518,0.518,0.513,1.03511124877966
86,76.69,192.5,100,6.234,Concrete,Clear Span,Gabled,High,Low,0.002068,38.651,0.732,0.527,0.519,0.45,0.642423465404623
87,79.97,220,160,8.727,Concrete,Clear Span,Monoslope,Low,Low,0.000521,25.553,0.598,0.717,0.7,0.566,0.461990829656283
88,68.19,370,40,1.297,Concrete,Clear Span,Monoslope,Low,High,0.000133,3.241,0.993,1.465,1.465,1.467,1.52721290243281
89,81,372.5,100,3.221,Concrete,Clear Span,Gabled,Low,Low,0.001876,2.62,0.956,1.818,1.817,1.778,1.25428686367198
90,100.11,520,160,3.692,Concrete,Clear Span,Gabled,Low,Low,9.71e-05,3.308,0.83,2.024,2.013,1.759,1.13199549144244
91,105.11,545,40,0.881,Concrete,Clear Span,Gabled,Low,Low,0.000377,1.399,0.991,2.769,2.769,2.772,1.95314740808397
92,113.27,640,100,1.875,Concrete,Clear Span,Gabled,High,High,3.4e-05,10.249,0.938,1.088,1.086,1.063,2.09609673971136
93,132.69,560,160,3.429,Concrete,Clear Span,Gabled,High,High,5.38e-05,14.065,0.89,1.026,1.023,0.982,1.27501889736959
94,142.31,730,40,0.658,Concrete,Clear Span,Monoslope,Low,High,6.57e-06,3.882,0.981,1.932,1.932,1.936,2.33501859670707
95,152.55,732.5,100,1.638,Concrete,Clear Span,Gabled,High,Low,0.000462,8.655,0.969,1.337,1.337,1.342,2.38665042659603
96,222.43,760,160,2.526,Concrete,Clear Span,Monoslope,High,Low,4.68e-06,10.462,0.954,1.479,1.479,1.474,2.70224639640579
97,19.13,190,80,2.526,Metal Panels,Modular,Gabled,High,Low,0.329748,2.642,0.917,0.885,0.883,0.861,0.854010934723252
98,28.82,195,120,3.692,Metal Panels,Modular,Gabled,Low,High,0.018888,4.005,0.747,0.975,0.958,0.858,0.9275115779725
99,56.4,300,240,2.4,Metal Panels,Modular,Monoslope,Low,Low,0.009689,5.348,0.967,1.04,1.036,1.038,1.35469949132347
100,148.42,480,300,2.4,Metal Panels,Modular,Gabled,Low,Low,0.000842,11.645,0.881,1.173,1.159,1.142,2.08517716132069
101,39.81,380,80,1.297,Metal Panels,Modular,Monoslope,Low,High,0.000425,3.583,0.961,1.066,1.066,1.066,1.30995263370996
102,30.84,375,120,1.92,Metal Panels,Modular,Gabled,High,Low,0.01713,0.98,0.948,1.801,1.8,1.794,1.20855536676762
