t [s],a(t) [m/s^2]
0.369747899,-0.000659464
0.37394958,0.013114809
0.378151261,-0.012783132
0.382352941,-0.000522
0.386554622,-0.000359622
0.390756303,0.002084198
0.394957983,0.010408576
0.399159664,-0.001124552
0.403361345,0.002193119
0.407563025,0.02334425
0.411764706,0.004260886
0.415966387,-0.014360035
0.420168067,-0.019344798
0.424369748,-0.013068538
0.428571429,-0.002081615
0.432773109,0.002290448
0.43697479,0.003695704
0.441176471,-0.000797281
0.445378151,0.012814182
0.449579832,-0.004497912
0.453781513,-0.00301773
0.457983193,0.00949011
0.462184874,0.013864969
0.466386555,0.008279116
0.470588235,-0.009716667
0.474789916,-0.017450305
0.478991597,-0.01261079
0.483193277,0.002322018
0.487394958,0.016496292
0.491596639,0.005908172
0.495798319,0.008226345
0.5,-0.013670036
0.504201681,-0.010083622
0.508403361,-0.006106671
0.512605042,-0.009450148
0.516806723,-0.000276126
0.521008403,0.012530838
0.525210084,0.008711594
0.529411765,0.010491622
0.533613445,0.005959186
0.537815126,-0.001859177
0.542016807,-0.003979412
0.546218487,0.005561641
0.550420168,-0.006202567
0.554621849,-0.011206619
0.558823529,-0.006535066
0.56302521,-0.004838154
0.567226891,0.01475774
0.571428571,-0.003474903
0.575630252,-0.015890101
0.579831933,-0.000968093
0.584033613,0.000581845
0.588235294,0.019293656
0.592436975,0.013889647
0.596638655,0.006545562
0.600840336,-0.003304897
0.605042017,-0.011442171
0.609243697,-0.005273439
0.613445378,-0.007526663
0.617647059,0.00215685
0.621848739,-0.000759835
0.62605042,0.006468008
0.630252101,0.002893432
0.634453782,-0.018658707
0.638655462,0.00646915
0.642857143,0.001689963
0.647058824,0.004148751
0.651260504,0.008503377
0.655462185,-0.009738692
0.659663866,0.008126065
0.663865546,-0.00669687
0.668067227,0.006268623
0.672268908,0.002733555
0.676470588,-0.00595052
0.680672269,-0.003668373
0.68487395,-0.001860192
0.68907563,0.001782261
0.693277311,0.005966559
0.697478992,-0.001974434
0.701680672,-0.001180326
0.705882353,-0.002494541
0.710084034,-0.002968238
0.714285714,0.000379233
0.718487395,-0.000209951
0.722689076,-0.008869263
0.726890756,0.019375971
0.731092437,0.00322951
0.735294118,0.002658701
0.739495798,-0.007362666
0.743697479,-0.008181664
0.74789916,0.003867528
0.75210084,0.002492362
0.756302521,-0.012299433
0.760504202,0.009742396
0.764705882,0.001521767
0.768907563,-0.002927514
0.773109244,-0.002506772
0.777310924,-0.005697107
0.781512605,0.011949547
0.785714286,0.003073106
0.789915966,-0.001251162
0.794117647,-0.004633331
0.798319328,0.002514589
0.802521008,-0.002512022
0.806722689,-0.002893883
0.81092437,0.009222901
0.81512605,0.000394534
0.819327731,-0.000581706
0.823529412,-0.006822639
0.827731092,-0.013512085
0.831932773,0.002696244
0.836134454,-0.003111044
0.840336134,0.013913023
0.844537815,0.010614313
0.848739496,-0.003495445
0.852941176,0.009231121
0.857142857,-0.003927192
0.861344538,-0.00169992
0.865546218,-0.020004231
0.869747899,-0.002556236
0.87394958,0.01537445
0.878151261,-0.010440966
0.882352941,0.009851666
0.886554622,-0.006870348
0.890756303,-0.001885532
0.894957983,0.00988937
0.899159664,0.002738606
0.903361345,-0.00479146
0.907563025,-0.004957171
0.911764706,0.005767575
0.915966387,0.009940888
0.920168067,-0.014080687
0.924369748,-0.012523474
0.928571429,0.012133211
0.932773109,0.012541079
0.93697479,-0.002956764
0.941176471,0.001549592
0.945378151,0.002149409
0.949579832,-0.01546003
0.953781513,-0.007497218
0.957983193,0.005191641
0.962184874,-2.87823E-05
0.966386555,-0.002704349
0.970588235,0.000844943
0.974789916,0.001706262
0.978991597,0.022062315
0.983193277,0.007452603
0.987394958,-0.00623298
0.991596639,-0.01545075
0.995798319,0.000684552
1,-0.005184473
1.004201681,-0.008589747
1.008403361,-0.001814812
1.012605042,0.008507286
1.016806723,0.016360597
1.021008403,0.007369636
1.025210084,-0.023246384
1.029411765,-0.009027736
1.033613445,0.009354361
1.037815126,0.009785134
1.042016807,0.003063188
1.046218487,-2.38862E-05
1.050420168,-0.010250579
1.054621849,-0.003692802
1.058823529,0.000464209
1.06302521,0.000980222
1.067226891,-0.00159595
1.071428571,0.010644559
1.075630252,0.007734935
1.079831933,0.007606787
1.084033613,-0.006503748
1.088235294,-0.011834362
1.092436975,-0.014330515
1.096638655,-0.006151405
1.100840336,0.004397265
1.105042017,0.000636669
1.109243697,0.005391453
1.113445378,0.019928105
1.117647059,0.001803489
1.121848739,0.003719318
1.12605042,-0.000655066
1.130252101,-0.00834883
1.134453782,-0.012823769
1.138655462,-0.007561028
1.142857143,-0.004608556
1.147058824,0.007324119
1.151260504,0.009604149
1.155462185,0.006353478
1.159663866,0.000514318
1.163865546,-0.000162639
1.168067227,0.007904984
1.172268908,-0.0022057
1.176470588,-0.01610197
1.180672269,-0.016983544
1.18487395,0.013751076
1.18907563,-0.004055203
1.193277311,0.006253299
1.197478992,0.005205675
1.201680672,5.90467E-06
1.205882353,0.014606224
1.210084034,-0.00965124
1.214285714,-0.003345019
1.218487395,0.002986811
1.222689076,0.002149297
1.226890756,0.006104369
1.231092437,-0.014479544
1.235294118,-0.003933231
1.239495798,0.004236964
1.243697479,-0.004913919
1.24789916,-0.008021974
1.25210084,-0.003869908
1.256302521,0.009354077
1.260504202,-6.47505E-05
1.264705882,0.010366696
1.268907563,0.007713464
1.273109244,0.008708513
1.277310924,0.001345854
1.281512605,0.000548935
1.285714286,-0.009285076
1.289915966,-0.010236596
1.294117647,-0.009514756
1.298319328,-0.003541514
1.302521008,-9.51078E-05
1.306722689,-0.008732305
1.31092437,0.00170535
1.31512605,0.01510303
1.319327731,0.012359993
1.323529412,0.004900419
1.327731092,-0.003039712
1.331932773,-0.009033018
1.336134454,0.008484133
1.340336134,0.007610608
1.344537815,-0.006290294
1.348739496,-0.002136278
1.352941176,-0.017691861
1.357142857,-0.014115983
1.361344538,0.013912856
1.365546218,0.007081065
1.369747899,-0.002335847
1.37394958,0.007183341
1.378151261,-0.002671708
1.382352941,0.004031283
1.386554622,-0.006782098
1.390756303,0.005648674
1.394957983,0.00668024
1.399159664,-0.004808771
1.403361345,0.007166341
1.407563025,-0.007609888
1.411764706,-0.005998269
1.415966387,-0.014311841
1.420168067,0.006353354
1.424369748,0.00569555
1.428571429,0.005816421
1.432773109,0.010846043
1.43697479,-0.0175896
1.441176471,0.007827775
1.445378151,-0.001548832
1.449579832,-0.003273329
1.453781513,0.000225952
1.457983193,0.011328332
1.462184874,-0.000487987
1.466386555,-0.002880136
1.470588235,-0.010776862
1.474789916,-0.005580948
1.478991597,-0.004006545
1.483193277,0.011345924
1.487394958,-0.006775006
1.491596639,-0.000288974
1.495798319,0.026622502
1.5,0.006918504
1.504201681,-0.01033692
1.508403361,-0.007809426
1.512605042,-0.007671467
1.516806723,-0.008751579
1.521008403,0.01646302
1.525210084,-0.017629042
1.529411765,0.006286463
1.533613445,-0.002158495
1.537815126,0.000152025
1.542016807,0.007260446
1.546218487,-0.001751645
1.550420168,0.005464424
1.554621849,0.003191412
1.558823529,0.009394432
1.56302521,-0.003465763
1.567226891,-0.015060802
1.571428571,0.011083691
1.575630252,-0.005884641
1.579831933,-0.001380042
1.584033613,-0.001199224
1.588235294,-0.018564432
1.592436975,0.000947548
1.596638655,-0.001348033
1.600840336,0.020629777
1.605042017,0.010036013
1.609243697,-0.001366871
1.613445378,-0.000949595
1.617647059,-0.008985561
1.621848739,0.00813046
1.62605042,-0.003380499
1.630252101,0.009239256
1.634453782,-0.010200409
1.638655462,-0.012564142
1.642857143,0.003975898
1.647058824,-0.015041107
1.651260504,0.005183161
1.655462185,0.007744498
1.659663866,0.013530169
1.663865546,0.006902333
1.668067227,-0.005636589
1.672268908,-0.007408377
1.676470588,0.000913556
1.680672269,-0.013052731
1.68487395,0.005713584
1.68907563,0.013494178
1.693277311,0.00369974
1.697478992,0.007466183
1.701680672,-0.012888007
1.705882353,-0.007647437
1.710084034,-0.012682598
1.714285714,0.006763354
1.718487395,-0.018105758
1.722689076,0.02107413
1.726890756,0.000423421
1.731092437,0.006139091
1.735294118,0.008289496
1.739495798,-0.008699275
1.743697479,0.022191822
1.74789916,-0.006195047
1.75210084,-0.007686829
1.756302521,-0.007433181
1.760504202,-0.009626893
1.764705882,-0.012466243
1.768907563,-0.006956805
1.773109244,0.012312508
1.777310924,0.018438815
1.781512605,0.001879613
1.785714286,0.007559759
1.789915966,-0.00459279
1.794117647,0.001956255
1.798319328,-0.00689647
1.802521008,-0.006010606
1.806722689,0.002209779
1.81092437,-0.011585126
1.81512605,-0.000740252
1.819327731,0.010165688
1.823529412,0.00193604
1.827731092,0.012834335
1.831932773,-0.000872777
1.836134454,-0.005702686
1.840336134,-0.008266948
1.844537815,-0.013372531
1.848739496,0.005306724
1.852941176,0.009463826
1.857142857,-0.003287712
1.861344538,0.011956465
1.865546218,0.003740089
1.869747899,-0.006966581
1.87394958,-0.005776801
1.878151261,-0.005238905
1.882352941,-0.007128103
1.886554622,0.010720692
1.890756303,0.018397773
1.894957983,-0.007422843
1.899159664,-0.002081485
1.903361345,-0.008656487
1.907563025,-0.002590582
1.911764706,-0.007806685
1.915966387,0.005639397
1.920168067,0.006639662
1.924369748,0.009572677
1.928571429,-0.006500491
1.932773109,0.002716419
1.93697479,-0.004077997
1.941176471,-0.004747404
1.945378151,-0.0023024
1.949579832,-0.001556801
1.953781513,0.008230764
1.957983193,0.01565131
1.962184874,-0.000882333
1.966386555,-0.019263183
1.970588235,-0.003016665
1.974789916,-0.006042356
1.978991597,0.0033591
1.983193277,0.013802422
1.987394958,0.00313749
1.991596639,-0.011870158
1.995798319,0.003510406
2,0.013389297
2.004201681,-0.013329154
2.008403361,-0.008381234
2.012605042,0.003125035
2.016806723,0.011042823
2.021008403,-0.000765576
2.025210084,0.003030851
2.029411765,-0.005690014
2.033613445,8.87252E-06
2.037815126,-0.00262201
2.042016807,-0.005812355
2.046218487,-0.005985593
2.050420168,0.0130018
2.054621849,0.003250049
2.058823529,-0.002336551
2.06302521,0.001617068
2.067226891,0.000141017
2.071428571,0.002811486
2.075630252,0.003050526
2.079831933,-0.006312074
2.084033613,-0.012688503
2.088235294,0.003097893
2.092436975,-0.002619343
2.096638655,0.007298567
2.100840336,0.011931021
2.105042017,-0.007849692
2.109243697,0.002445005
2.113445378,-0.009243916
2.117647059,0.010359474
2.121848739,0.003192553
2.12605042,-0.008613066
2.130252101,5.60704E-05
2.134453782,-0.007944045
2.138655462,0.008044613
2.142857143,0.000688914
2.147058824,0.000463659
2.151260504,-0.007046915
2.155462185,0.005644373
2.159663866,-0.00220028
2.163865546,0.012487715
2.168067227,-0.005369693
2.172268908,-0.011477059
2.176470588,-0.00102744
2.180672269,-0.002118989
2.18487395,0.021205435
2.18907563,0.004956029
2.193277311,-0.013101483
2.197478992,-0.000589692
2.201680672,-0.00593986
2.205882353,-0.00038288
2.210084034,0.003536903
2.214285714,-0.003149716
2.218487395,-0.001896025
2.222689076,0.004281009
2.226890756,-0.003210317
2.231092437,0.00311729
2.235294118,-0.00491773
2.239495798,0.001966019
2.243697479,0.015348165
2.24789916,0.003476517
2.25210084,-0.007328208
2.256302521,-0.006890216
2.260504202,0.002411358
2.264705882,-0.002739148
2.268907563,-0.006145222
2.273109244,0.005399931
2.277310924,-0.00278218
2.281512605,-0.004326965
2.285714286,-0.004604522
2.289915966,0.015540429
2.294117647,-0.006153315
2.298319328,-0.00267705
2.302521008,0.014558452
2.306722689,0.003612043
2.31092437,-0.00742757
2.31512605,-0.005427158
2.319327731,0.000614452
2.323529412,0.005307145
2.327731092,-0.003899361
2.331932773,-0.00182538
2.336134454,0.000216531
2.340336134,-0.008473034
2.344537815,0.004508404
2.348739496,0.001533372
2.352941176,2.96949E-05
2.357142857,-0.00833053
2.361344538,0.005807271
2.365546218,0.007723742
2.369747899,0.0039686
2.37394958,-0.007318079
2.378151261,0.012681499
2.382352941,0.009994901
2.386554622,-0.014889935
2.390756303,-0.015391623
2.394957983,-0.004768829
2.399159664,0.003744298
2.403361345,-0.000661944
2.407563025,0.003557084
2.411764706,0.008052932
2.415966387,-0.002677048
2.420168067,0.015143272
2.424369748,0.001155623
2.428571429,-0.020601656
2.432773109,-0.006348117
2.43697479,0.014655858
2.441176471,-0.003634371
2.445378151,-0.004943956
2.449579832,0.006519692
2.453781513,-0.002806666
2.457983193,0.002325658
2.462184874,0.004482414
2.466386555,-0.000603511
2.470588235,0.00495669
2.474789916,-0.011804013
2.478991597,-0.006016516
2.483193277,0.007963737
2.487394958,-0.004539252
2.491596639,-0.000365379
2.495798319,-0.002772658
2.5,0.010478695
2.504201681,0.010751313
2.508403361,-0.003073642
2.512605042,-0.013583062
2.516806723,-0.005790166
2.521008403,0.014906156
2.525210084,-0.004215255
2.529411765,0.004398696
2.533613445,-0.010235245
2.537815126,0.001438797
2.542016807,-0.002003117
2.546218487,-0.005114724
2.550420168,0.008171102
2.554621849,0.003076871
2.558823529,0.011301037
2.56302521,-0.001256831
2.567226891,-0.005811399
2.571428571,-0.01364574
2.575630252,0.00288608
2.579831933,0.013384411
2.584033613,-0.005965564
2.588235294,1.74108E-05
2.592436975,-0.012864533
2.596638655,-0.003847563
2.600840336,0.0049508
2.605042017,0.008136426
2.609243697,0.009857455
2.613445378,-0.001926049
2.617647059,-0.008748297
2.621848739,0.018021281
2.62605042,-0.006110198
2.630252101,-0.003421966
2.634453782,0.001474132
2.638655462,-0.001046519
2.642857143,-0.014596133
2.647058824,-0.004453764
2.651260504,-0.009494129
2.655462185,-0.002135074
2.659663866,0.014693947
2.663865546,0.021909002
2.668067227,-0.006157533
2.672268908,0.003578824
2.676470588,0.011665623
2.680672269,-0.00999328
2.68487395,-0.011102206
2.68907563,0.006543845
2.693277311,-0.006749785
2.697478992,-0.024676414
2.701680672,0.011381537
2.705882353,0.021772376
2.710084034,0.002256721
2.714285714,-0.007111981
2.718487395,-0.005182938
2.722689076,-0.012346841
2.726890756,-0.004096515
2.731092437,0.013558156
2.735294118,0.005288291
2.739495798,0.005805378
2.743697479,-0.005832731
2.74789916,0.009296188
2.75210084,0.000942064
2.756302521,-0.000931843
2.760504202,-0.004661873
2.764705882,0.000573715
2.768907563,-0.00791918
2.773109244,-0.0013623
2.777310924,-0.005450142
2.781512605,-0.005784161
2.785714286,0.003042672
2.789915966,-0.001709888
2.794117647,0.008675674
2.798319328,0.001848465
2.802521008,0.000506452
2.806722689,0.015963412
2.81092437,-0.000927342
2.81512605,-0.004146777
2.819327731,-0.003935287
2.823529412,0.015215357
2.827731092,-0.004791823
2.831932773,-0.018485485
2.836134454,-0.005510578
2.840336134,-0.016117186
2.844537815,0.001817157
2.848739496,0.013043426
2.852941176,-0.004508259
2.857142857,0.008497953
2.861344538,0.015626885
2.865546218,0.012755405
2.869747899,0.000532801
2.87394958,-0.004850705
2.878151261,-0.015954773
2.882352941,-0.016630837
2.886554622,0.001472198
2.890756303,0.005992074
2.894957983,0.002268132
2.899159664,0.012996711
2.903361345,-0.007952028
2.907563025,-0.00314981
2.911764706,-0.004936196
2.915966387,0.009430682
2.920168067,0.007638451
2.924369748,-0.009696351
2.928571429,-0.006638486
2.932773109,0.002468825
2.93697479,0.009260319
2.941176471,0.000571491
2.945378151,-0.000266609
2.949579832,-0.004056207
2.953781513,-0.007847669
2.957983193,-0.000322988
2.962184874,0.004690526
2.966386555,0.011323296
2.970588235,0.002764028
2.974789916,-0.015039174
2.978991597,-0.006191962
2.983193277,-1.78112E-05
2.987394958,0.005905428
2.991596639,0.009231991
2.995798319,0.007633773
3,-0.013778389
3.004201681,0.008516849
3.008403361,-0.000827218
3.012605042,-0.009435096
3.016806723,-0.010090236
3.021008403,-0.00038818
3.025210084,-0.00189108
3.029411765,0.008708101
3.033613445,0.009210264
3.037815126,0.008530149
3.042016807,0.001216728
3.046218487,-0.001414717
3.050420168,0.001192697
3.054621849,-0.011331488
3.058823529,-0.003070004
3.06302521,-0.008709037
3.067226891,0.004124435
3.071428571,-0.006398702
3.075630252,0.003491801
3.079831933,0.007537827
3.084033613,0.003412853
3.088235294,0.001343215
3.092436975,-0.002833421
3.096638655,0.004051409
3.100840336,-0.006757892
3.105042017,0.009578795
3.109243697,0.002715059
3.113445378,-0.00109327
3.117647059,-0.015694148
3.121848739,0.005524052
3.12605042,0.005041747
3.130252101,-0.004010998
3.134453782,-0.00967649
3.138655462,-0.001168834
3.142857143,0.00658385
3.147058824,0.005853225
3.151260504,0.004483663
3.155462185,0.000745388
3.159663866,-0.002307808
3.163865546,-0.013008
3.168067227,0.005184197
3.172268908,0.005589289
3.176470588,-0.002230395
3.180672269,0.006231103
3.18487395,-0.002594222
3.18907563,-0.003625497
3.193277311,0.00248011
3.197478992,-0.004082084
3.201680672,0.014354769
3.205882353,-0.01106589
3.210084034,-0.005531953
3.214285714,-0.007936111
3.218487395,0.002699586
3.222689076,0.0048676
3.226890756,0.001008117
3.231092437,0.000743956
3.235294118,0.007107673
3.239495798,-0.000222637
3.243697479,0.005700999
3.24789916,-0.002655652
3.25210084,-0.001965921
3.256302521,0.000559373
3.260504202,-0.013670123
3.264705882,-0.005787851
3.268907563,0.005616658
3.273109244,0.012734857
3.277310924,0.010164299
3.281512605,-0.00568775
3.285714286,-0.007875031
3.289915966,-0.010738254
3.294117647,0.00670513
3.298319328,-0.008177569
3.302521008,-0.012253188
3.306722689,0.014263446
3.31092437,0.012740197
3.31512605,0.010125279
3.319327731,0.000434521
3.323529412,-0.001378809
3.327731092,-0.001320162
3.331932773,-0.006598012
3.336134454,-0.004669816
3.340336134,0.003242452
3.344537815,-0.00562361
3.348739496,-0.009130148
3.352941176,-0.007274095
3.357142857,-0.006026417
3.361344538,0.011395216
3.365546218,0.011501956
3.369747899,0.011682498
3.37394958,0.002388646
3.378151261,-0.004986984
3.382352941,0.011111082
3.386554622,-0.003191901
3.390756303,-0.011407278
3.394957983,-0.005191747
3.399159664,-0.005543979
3.403361345,-0.001149836
3.407563025,-0.001647401
3.411764706,-0.004103807
3.415966387,0.009984631
3.420168067,0.007659991
3.424369748,-0.004515855
3.428571429,-0.00858946
3.432773109,0.009821778
3.43697479,-0.003115525
3.441176471,0.014299132
3.445378151,0.008858186
3.449579832,-0.00380784
3.453781513,-0.023031152
3.457983193,-0.008045785
3.462184874,-0.007277358
3.466386555,0.011038896
3.470588235,0.017003314
3.474789916,0.009430641
3.478991597,-0.007494284
3.483193277,-0.001469162
3.487394958,-0.01202823
3.491596639,-0.009284381
3.495798319,0.007914788
3.5,0.003013287
3.504201681,0.007091569
3.508403361,-0.008020735
3.512605042,-0.005245377
3.516806723,0.017789463
3.521008403,0.011392671
3.525210084,-0.017255005
3.529411765,-0.007094698
3.533613445,0.004181487
3.537815126,0.002829528
3.542016807,-0.002744069
3.546218487,-0.004728311
3.550420168,-0.003692479
3.554621849,0.002784089
3.558823529,0.006343569
3.56302521,0.005803435
3.567226891,-0.002421466
3.571428571,-0.003969546
3.575630252,0.00294218
3.579831933,-0.005051354
3.584033613,-0.002241981
3.588235294,0.00654743
3.592436975,-0.001464039
3.596638655,-0.002968584
3.600840336,0.002002438
3.605042017,0.00384919
3.609243697,-0.008814087
3.613445378,0.006508487
3.617647059,0.001346854
3.621848739,0.009842967
3.62605042,-0.006275511
3.630252101,-0.023024889
3.634453782,0.024882022
3.638655462,-0.010948219
3.642857143,-0.009570317
3.647058824,0.015279588
3.651260504,-0.017783127
3.655462185,0.002572933
3.659663866,0.026656919
3.663865546,-0.004214513
3.668067227,0.010476156
3.672268908,-0.011913282
3.676470588,-0.014566393
3.680672269,-0.001713868
3.68487395,0.013445225
3.68907563,-0.010406473
3.693277311,0.005737254
3.697478992,-0.014720083
3.701680672,-0.015482556
3.705882353,0.024446472
3.710084034,0.018933662
3.714285714,0.011732571
3.718487395,-0.015056934
3.722689076,0.003851691
3.726890756,-0.032665731
3.731092437,0.005282615
3.735294118,0.007549793
3.739495798,0.008213267
3.743697479,-0.005357227
3.74789916,0.014643154
3.75210084,-0.022852702
3.756302521,0.005363108
3.760504202,0.007028589
3.764705882,0.006012222
3.768907563,0.001662058
3.773109244,-0.011437591
3.777310924,-0.001564369
3.781512605,-0.015377128
3.785714286,0.015410946
3.789915966,0.008872553
3.794117647,-0.003781669
3.798319328,0.008065906
3.802521008,0.000812125
3.806722689,-0.003917186
3.81092437,-0.006060275
3.81512605,-0.016352016
3.819327731,-0.009041162
3.823529412,0.027233624
3.827731092,0.007446211
3.831932773,-0.00201699
3.836134454,-0.005409434
3.840336134,-0.004595374
3.844537815,0.000958272
3.848739496,0.007005862
3.852941176,-0.007442218
3.857142857,-0.002902818
3.861344538,0.006259716
3.865546218,-0.008063648
3.869747899,0.014021718
3.87394958,0.001943521
3.878151261,-0.013109371
3.882352941,0.001849283
3.886554622,-0.011176644
3.890756303,-0.000660578
3.894957983,0.005301979
3.899159664,0.013311517
3.903361345,0.007801166
3.907563025,0.003708033
3.911764706,-0.004999842
3.915966387,-0.011800638
3.920168067,-0.004796459
3.924369748,-0.003817501
3.928571429,0.005424961
3.932773109,0.005502972
3.93697479,-0.000646861
3.941176471,-0.0082748
3.945378151,-0.019195589
3.949579832,0.010287751
3.953781513,0.025733244
3.957983193,0.01162374
3.962184874,-0.009234955
3.966386555,-0.004448728
3.970588235,0.001520764
3.974789916,-0.000825081
3.978991597,-0.013808433
3.983193277,-0.004449345
3.987394958,0.000362468
3.991596639,-0.008923548
3.995798319,0.003010841
4,0.009815266
4.004201681,0.013251207
4.008403361,0.007882893
4.012605042,-0.006947887
4.016806723,-0.004970504
4.021008403,0.001180941
4.025210084,-0.007705792
4.029411765,0.007825467
4.033613445,-0.004929651
4.037815126,-0.00708095
4.042016807,0.000177221
4.046218487,-0.002288419
4.050420168,0.006506248
4.054621849,-0.005714493
4.058823529,0.011976296
4.06302521,0.000973869
4.067226891,0.00262414
4.071428571,0.002001196
4.075630252,-0.000272614
4.079831933,-0.011970394
4.084033613,-0.006763555
4.088235294,0.005150378
4.092436975,0.00278901
4.096638655,-0.003714036
4.100840336,0.001159614
4.105042017,0.00839094
4.109243697,-0.009587028
4.113445378,0.010048975
4.117647059,-0.003938189
4.121848739,-0.007253232
4.12605042,0.013288129
4.130252101,0.005039701
4.134453782,-0.002039848
4.138655462,-0.00672087
4.142857143,-0.007779239
4.147058824,-0.001606255
4.151260504,-0.003160063
4.155462185,-0.00107908
4.159663866,-0.000775306
4.163865546,0.011479132
4.168067227,0.004511528
4.172268908,-0.000781148
4.176470588,0.002733528
4.180672269,-0.010123575
4.18487395,0.015687962
4.18907563,0.001154469
4.193277311,-0.006422713
4.197478992,-0.003413352
4.201680672,-0.020283429
4.205882353,0.007684941
4.210084034,0.002167715
4.214285714,0.00335408
4.218487395,-0.007231532
4.222689076,0.006986081
4.226890756,0.0047507
4.231092437,0.00463508
4.235294118,0.006628965
4.239495798,0.001717763
4.243697479,-0.01195314
4.24789916,-0.006926098
4.25210084,0.010730018
4.256302521,0.000232825
4.260504202,-0.012751937
4.264705882,-0.007927384
4.268907563,-0.000885541
4.273109244,0.014953941
4.277310924,0.009087055
4.281512605,-0.007667017
4.285714286,-0.005918201
4.289915966,0.010812486
4.294117647,0.000697192
4.298319328,0.000306498
4.302521008,0.001900836
4.306722689,-0.01066259
4.31092437,-0.006269164
4.31512605,0.002476151
4.319327731,-0.0006471
4.323529412,0.008225331
4.327731092,-0.000320558
4.331932773,-0.003624363
4.336134454,-0.003554938
4.340336134,0.009411211
4.344537815,0.000531437
4.348739496,-0.000861682
4.352941176,0.001674797
4.357142857,-0.001374376
4.361344538,-0.008730668
4.365546218,0.004837217
4.369747899,0.000517892
4.37394958,-0.001255045
4.378151261,-0.005805707
4.382352941,-0.006515287
4.386554622,0.016969478
4.390756303,0.007757258
4.394957983,-0.00428512
4.399159664,-0.01265735
4.403361345,-9.82261E-05
4.407563025,0.000372519
4.411764706,0.01200841
4.415966387,-0.001173213
4.420168067,-0.002701801
4.424369748,-0.001561602
4.428571429,-0.003708033
4.432773109,0.001099887
4.43697479,0.002180901
4.441176471,-0.005740588
4.445378151,-0.00578627
4.449579832,0.012331307
4.453781513,0.005014099
4.457983193,-0.006720984
4.462184874,-0.006083583
4.466386555,0.002130817
4.470588235,0.008299743
4.474789916,0.006956581
4.478991597,-0.004995855
4.483193277,-0.002537855
4.487394958,-0.006740377
4.491596639,-0.008137547
4.495798319,0.002757666
4.5,0.006732587
4.504201681,0.001370785
4.508403361,-0.000145851
4.512605042,0.004027188
4.516806723,0.001397097
4.521008403,0.001638098
4.525210084,-0.004722066
4.529411765,-0.002018791
4.533613445,0.002054931
4.537815126,-0.005005995
4.542016807,-0.008802913
4.546218487,0.004432189
4.550420168,-0.000646439
4.554621849,0.0076251
4.558823529,0.009414548
4.56302521,-0.001954348
4.567226891,-0.000838583
4.571428571,-0.005878764
4.575630252,0.01338274
4.579831933,-0.001156286
4.584033613,-0.018385743
4.588235294,-0.010158869
4.592436975,0.005012471
4.596638655,-0.006921503
4.600840336,0.016370651
4.605042017,0.009739414
4.609243697,-0.006972411
4.613445378,-0.002558837
4.617647059,0.000900621
4.621848739,0.00644508
4.62605042,0.003921449
4.630252101,-0.002482543
4.634453782,0.000377258
4.638655462,-0.001906532
4.642857143,-0.008791115
4.647058824,-0.005375887
4.651260504,-0.002500564
4.655462185,0.004560663
4.659663866,-0.000407698
4.663865546,-0.004882625
4.668067227,0.011452043
4.672268908,0.003083667
4.676470588,-0.002469225
4.680672269,0.007955453
