fecha,nudos,km/h
2020-07,25,46
2020-08,26,48
2020-09,25,46
2020-10,27,50
2020-11,26,48
2020-12,33,62
2021-01,36,67
2021-02,28,52
2021-03,32,59
2021-04,26,48
